"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"24 years"	"24"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	29	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	34	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	31	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	24	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	38	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	31	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	38	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	16	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	25	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"26 years"	"26"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"26 years"	"26"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	51	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	35	Not Applicable	Not Applicable
	"26 years"	"26"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"26 years"	"26"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	22	Not Applicable	Not Applicable
	"26 years"	"26"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"26 years"	"26"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	28	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	32	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"27 years"	"27"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	16	Not Applicable	Not Applicable
	"27 years"	"27"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"27 years"	"27"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"27 years"	"27"	"Aug., 2020"	"2020/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"27 years"	"27"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"27 years"	"27"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"27 years"	"27"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"27 years"	"27"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	22	Not Applicable	Not Applicable
	"27 years"	"27"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	28	Not Applicable	Not Applicable
	"27 years"	"27"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"27 years"	"27"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"27 years"	"27"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"27 years"	"27"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"27 years"	"27"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	34	Not Applicable	Not Applicable
	"27 years"	"27"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	47	Not Applicable	Not Applicable
	"27 years"	"27"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	32	Not Applicable	Not Applicable
	"27 years"	"27"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	50	Not Applicable	Not Applicable
	"27 years"	"27"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"27 years"	"27"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	25	Not Applicable	Not Applicable
	"27 years"	"27"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"27 years"	"27"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	17	Not Applicable	Not Applicable
	"27 years"	"27"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"27 years"	"27"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	28	Not Applicable	Not Applicable
	"27 years"	"27"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	22	Not Applicable	Not Applicable
	"27 years"	"27"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	32	Not Applicable	Not Applicable
	"27 years"	"27"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"28 years"	"28"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"28 years"	"28"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"28 years"	"28"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"28 years"	"28"	"Jun., 2020"	"2020/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"28 years"	"28"	"Jul., 2020"	"2020/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"28 years"	"28"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"28 years"	"28"	"Sep., 2020"	"2020/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"28 years"	"28"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"28 years"	"28"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"28 years"	"28"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"28 years"	"28"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	35	Not Applicable	Not Applicable
	"28 years"	"28"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"28 years"	"28"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"28 years"	"28"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"28 years"	"28"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"28 years"	"28"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	17	Not Applicable	Not Applicable
	"28 years"	"28"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"28 years"	"28"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"28 years"	"28"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	31	Not Applicable	Not Applicable
	"28 years"	"28"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	58	Not Applicable	Not Applicable
	"28 years"	"28"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	36	Not Applicable	Not Applicable
	"28 years"	"28"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	62	Not Applicable	Not Applicable
	"28 years"	"28"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	29	Not Applicable	Not Applicable
	"28 years"	"28"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	37	Not Applicable	Not Applicable
	"28 years"	"28"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"28 years"	"28"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"28 years"	"28"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"28 years"	"28"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	36	Not Applicable	Not Applicable
	"28 years"	"28"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	23	Not Applicable	Not Applicable
	"28 years"	"28"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	49	Not Applicable	Not Applicable
	"28 years"	"28"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"28 years"	"28"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"29 years"	"29"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"29 years"	"29"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"29 years"	"29"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
