"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	261	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	99	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	151	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	101	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	39	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	97	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	16	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	41	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	14	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	26	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	26	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	16	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	19	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	14	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	10	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	41	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	15	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	38	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	12	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	45	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	11	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	35	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	35	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	24	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	27	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	10	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	10	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	11	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	31	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	28	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	66	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	25	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	12	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	30	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	19	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	39	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	19	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	14	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	17	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	38	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	12	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	12	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Leukemia (C91-C95)"	"GR113-040"	10	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	13	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	11	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	16	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	41	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	28	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	89	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	28	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	14	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	10	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	10	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	45	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	22	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	71	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	26	Not Applicable	Not Applicable
	"5-14 years"	"5-14"	"Male"	"M"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	27	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	71	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	45	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	21	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	16	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	19	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	15	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Other heart diseases (I26-I51)"	"GR113-064"	13	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	24	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	24	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	10	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	177	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"All other diseases (Residual) "	"GR113-111"	61	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"#COVID-19 (U07.1)"	"GR113-137"	68	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Jan., 2022 (provisional)"	"2022/01"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	358	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	30	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	35	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	14	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	20	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Other heart diseases (I26-I51)"	"GR113-064"	12	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	10	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	23	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	23	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	187	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"All other diseases (Residual) "	"GR113-111"	50	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"#COVID-19 (U07.1)"	"GR113-137"	28	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Feb., 2022 (provisional)"	"2022/02"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	238	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	11	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	127	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"All other diseases (Residual) "	"GR113-111"	13	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Female"	"F"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death (999)"	"GR113-999"	66	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	109	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	89	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	19	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	23	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"Leukemia (C91-C95)"	"GR113-040"	18	Not Applicable	Not Applicable
	"15-24 years"	"15-24"	"Male"	"M"	"Jan., 2022 (provisional)"	"2022/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	38	Not Applicable	Not Applicable
