"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Sep., 2020"	"2020/09"	"Female"	"F"	684	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2020"	"2020/09"	"Male"	"M"	918	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2020"	"2020/10"	"Female"	"F"	718	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2020"	"2020/10"	"Male"	"M"	869	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2020"	"2020/11"	"Female"	"F"	714	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2020"	"2020/11"	"Male"	"M"	845	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2020"	"2020/12"	"Female"	"F"	671	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2020"	"2020/12"	"Male"	"M"	872	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	753	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	914	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	678	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	799	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	756	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	907	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	803	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	850	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	756	Not Applicable	Not Applicable
	"< 1 year"	"0"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	948	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	704	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	889	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	737	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	931	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	755	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	922	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	809	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	882	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	776	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	917	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	671	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	878	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	702	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	936	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	637	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	795	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	487	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	582	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	178	Not Applicable	Not Applicable
	"< 1 year"	"0"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	257	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2018"	"2018/01"	"Female"	"F"	60	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2018"	"2018/01"	"Male"	"M"	85	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2018"	"2018/02"	"Female"	"F"	51	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2018"	"2018/02"	"Male"	"M"	75	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2018"	"2018/03"	"Female"	"F"	52	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2018"	"2018/03"	"Male"	"M"	63	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2018"	"2018/04"	"Female"	"F"	43	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2018"	"2018/04"	"Male"	"M"	60	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2018"	"2018/05"	"Female"	"F"	59	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2018"	"2018/05"	"Male"	"M"	81	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2018"	"2018/06"	"Female"	"F"	55	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2018"	"2018/06"	"Male"	"M"	59	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2018"	"2018/07"	"Female"	"F"	55	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2018"	"2018/07"	"Male"	"M"	80	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2018"	"2018/08"	"Female"	"F"	55	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2018"	"2018/08"	"Male"	"M"	71	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2018"	"2018/09"	"Female"	"F"	44	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2018"	"2018/09"	"Male"	"M"	62	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2018"	"2018/10"	"Female"	"F"	56	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2018"	"2018/10"	"Male"	"M"	60	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2018"	"2018/11"	"Female"	"F"	48	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2018"	"2018/11"	"Male"	"M"	70	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2018"	"2018/12"	"Female"	"F"	39	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2018"	"2018/12"	"Male"	"M"	65	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2019"	"2019/01"	"Female"	"F"	57	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2019"	"2019/01"	"Male"	"M"	66	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2019"	"2019/02"	"Female"	"F"	55	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2019"	"2019/02"	"Male"	"M"	81	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2019"	"2019/03"	"Female"	"F"	61	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2019"	"2019/03"	"Male"	"M"	62	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2019"	"2019/04"	"Female"	"F"	63	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2019"	"2019/04"	"Male"	"M"	72	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2019"	"2019/05"	"Female"	"F"	65	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2019"	"2019/05"	"Male"	"M"	78	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2019"	"2019/06"	"Female"	"F"	58	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2019"	"2019/06"	"Male"	"M"	60	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2019"	"2019/07"	"Female"	"F"	47	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2019"	"2019/07"	"Male"	"M"	77	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2019"	"2019/08"	"Female"	"F"	66	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2019"	"2019/08"	"Male"	"M"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2019"	"2019/09"	"Female"	"F"	47	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2019"	"2019/09"	"Male"	"M"	75	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2019"	"2019/10"	"Female"	"F"	31	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2019"	"2019/10"	"Male"	"M"	61	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2019"	"2019/11"	"Female"	"F"	46	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2019"	"2019/11"	"Male"	"M"	64	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2019"	"2019/12"	"Female"	"F"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2019"	"2019/12"	"Male"	"M"	76	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2020"	"2020/01"	"Female"	"F"	58	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2020"	"2020/01"	"Male"	"M"	66	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2020"	"2020/02"	"Female"	"F"	48	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2020"	"2020/02"	"Male"	"M"	69	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2020"	"2020/03"	"Female"	"F"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2020"	"2020/03"	"Male"	"M"	86	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2020"	"2020/04"	"Female"	"F"	39	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2020"	"2020/04"	"Male"	"M"	50	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2020"	"2020/05"	"Female"	"F"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2020"	"2020/05"	"Male"	"M"	77	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2020"	"2020/06"	"Female"	"F"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2020"	"2020/06"	"Male"	"M"	67	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2020"	"2020/07"	"Female"	"F"	56	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2020"	"2020/07"	"Male"	"M"	65	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2020"	"2020/08"	"Female"	"F"	51	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2020"	"2020/08"	"Male"	"M"	58	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2020"	"2020/09"	"Female"	"F"	30	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2020"	"2020/09"	"Male"	"M"	66	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2020"	"2020/10"	"Female"	"F"	43	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2020"	"2020/10"	"Male"	"M"	67	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2020"	"2020/11"	"Female"	"F"	50	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2020"	"2020/11"	"Male"	"M"	67	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2020"	"2020/12"	"Female"	"F"	45	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2020"	"2020/12"	"Male"	"M"	47	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	57	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	43	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	62	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	49	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	49	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	54	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	64	Not Applicable	Not Applicable
	"1 year"	"1"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	61	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	71	Not Applicable	Not Applicable
	"1 year"	"1"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	68	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	47	Not Applicable	Not Applicable
	"1 year"	"1"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	59	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	61	Not Applicable	Not Applicable
	"1 year"	"1"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	66	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	59	Not Applicable	Not Applicable
	"1 year"	"1"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	69	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	53	Not Applicable	Not Applicable
	"1 year"	"1"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	78	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	60	Not Applicable	Not Applicable
	"1 year"	"1"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	67	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	64	Not Applicable	Not Applicable
	"1 year"	"1"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	82	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	45	Not Applicable	Not Applicable
	"1 year"	"1"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	76	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	58	Not Applicable	Not Applicable
	"1 year"	"1"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	62	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	34	Not Applicable	Not Applicable
	"1 year"	"1"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	47	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	15	Not Applicable	Not Applicable
	"1 year"	"1"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	20	Not Applicable	Not Applicable
	"2 years"	"2"	"Jan., 2018"	"2018/01"	"Female"	"F"	48	Not Applicable	Not Applicable
	"2 years"	"2"	"Jan., 2018"	"2018/01"	"Male"	"M"	38	Not Applicable	Not Applicable
	"2 years"	"2"	"Feb., 2018"	"2018/02"	"Female"	"F"	23	Not Applicable	Not Applicable
	"2 years"	"2"	"Feb., 2018"	"2018/02"	"Male"	"M"	40	Not Applicable	Not Applicable
	"2 years"	"2"	"Mar., 2018"	"2018/03"	"Female"	"F"	36	Not Applicable	Not Applicable
	"2 years"	"2"	"Mar., 2018"	"2018/03"	"Male"	"M"	63	Not Applicable	Not Applicable
	"2 years"	"2"	"Apr., 2018"	"2018/04"	"Female"	"F"	42	Not Applicable	Not Applicable
	"2 years"	"2"	"Apr., 2018"	"2018/04"	"Male"	"M"	47	Not Applicable	Not Applicable
	"2 years"	"2"	"May, 2018"	"2018/05"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2 years"	"2"	"May, 2018"	"2018/05"	"Male"	"M"	64	Not Applicable	Not Applicable
	"2 years"	"2"	"Jun., 2018"	"2018/06"	"Female"	"F"	49	Not Applicable	Not Applicable
	"2 years"	"2"	"Jun., 2018"	"2018/06"	"Male"	"M"	57	Not Applicable	Not Applicable
	"2 years"	"2"	"Jul., 2018"	"2018/07"	"Female"	"F"	43	Not Applicable	Not Applicable
	"2 years"	"2"	"Jul., 2018"	"2018/07"	"Male"	"M"	65	Not Applicable	Not Applicable
	"2 years"	"2"	"Aug., 2018"	"2018/08"	"Female"	"F"	34	Not Applicable	Not Applicable
	"2 years"	"2"	"Aug., 2018"	"2018/08"	"Male"	"M"	61	Not Applicable	Not Applicable
	"2 years"	"2"	"Sep., 2018"	"2018/09"	"Female"	"F"	41	Not Applicable	Not Applicable
	"2 years"	"2"	"Sep., 2018"	"2018/09"	"Male"	"M"	53	Not Applicable	Not Applicable
	"2 years"	"2"	"Oct., 2018"	"2018/10"	"Female"	"F"	18	Not Applicable	Not Applicable
	"2 years"	"2"	"Oct., 2018"	"2018/10"	"Male"	"M"	42	Not Applicable	Not Applicable
	"2 years"	"2"	"Nov., 2018"	"2018/11"	"Female"	"F"	36	Not Applicable	Not Applicable
	"2 years"	"2"	"Nov., 2018"	"2018/11"	"Male"	"M"	54	Not Applicable	Not Applicable
	"2 years"	"2"	"Dec., 2018"	"2018/12"	"Female"	"F"	24	Not Applicable	Not Applicable
	"2 years"	"2"	"Dec., 2018"	"2018/12"	"Male"	"M"	28	Not Applicable	Not Applicable
	"2 years"	"2"	"Jan., 2019"	"2019/01"	"Female"	"F"	30	Not Applicable	Not Applicable
	"2 years"	"2"	"Jan., 2019"	"2019/01"	"Male"	"M"	44	Not Applicable	Not Applicable
	"2 years"	"2"	"Feb., 2019"	"2019/02"	"Female"	"F"	38	Not Applicable	Not Applicable
	"2 years"	"2"	"Feb., 2019"	"2019/02"	"Male"	"M"	37	Not Applicable	Not Applicable
	"2 years"	"2"	"Mar., 2019"	"2019/03"	"Female"	"F"	35	Not Applicable	Not Applicable
	"2 years"	"2"	"Mar., 2019"	"2019/03"	"Male"	"M"	37	Not Applicable	Not Applicable
	"2 years"	"2"	"Apr., 2019"	"2019/04"	"Female"	"F"	26	Not Applicable	Not Applicable
	"2 years"	"2"	"Apr., 2019"	"2019/04"	"Male"	"M"	58	Not Applicable	Not Applicable
	"2 years"	"2"	"May, 2019"	"2019/05"	"Female"	"F"	39	Not Applicable	Not Applicable
	"2 years"	"2"	"May, 2019"	"2019/05"	"Male"	"M"	42	Not Applicable	Not Applicable
	"2 years"	"2"	"Jun., 2019"	"2019/06"	"Female"	"F"	36	Not Applicable	Not Applicable
	"2 years"	"2"	"Jun., 2019"	"2019/06"	"Male"	"M"	57	Not Applicable	Not Applicable
	"2 years"	"2"	"Jul., 2019"	"2019/07"	"Female"	"F"	25	Not Applicable	Not Applicable
	"2 years"	"2"	"Jul., 2019"	"2019/07"	"Male"	"M"	53	Not Applicable	Not Applicable
	"2 years"	"2"	"Aug., 2019"	"2019/08"	"Female"	"F"	38	Not Applicable	Not Applicable
	"2 years"	"2"	"Aug., 2019"	"2019/08"	"Male"	"M"	45	Not Applicable	Not Applicable
	"2 years"	"2"	"Sep., 2019"	"2019/09"	"Female"	"F"	33	Not Applicable	Not Applicable
	"2 years"	"2"	"Sep., 2019"	"2019/09"	"Male"	"M"	34	Not Applicable	Not Applicable
	"2 years"	"2"	"Oct., 2019"	"2019/10"	"Female"	"F"	29	Not Applicable	Not Applicable
	"2 years"	"2"	"Oct., 2019"	"2019/10"	"Male"	"M"	39	Not Applicable	Not Applicable
	"2 years"	"2"	"Nov., 2019"	"2019/11"	"Female"	"F"	37	Not Applicable	Not Applicable
	"2 years"	"2"	"Nov., 2019"	"2019/11"	"Male"	"M"	21	Not Applicable	Not Applicable
	"2 years"	"2"	"Dec., 2019"	"2019/12"	"Female"	"F"	35	Not Applicable	Not Applicable
