"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	44	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	42	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	346	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	174	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	75	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"All other diseases (Residual) "	"GR113-111"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	43	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	41	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2018"	"2018/02"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	16	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Other heart diseases (I26-I51)"	"GR113-064"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	396	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	181	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	92	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"All other diseases (Residual) "	"GR113-111"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	42	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	39	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2018"	"2018/03"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	363	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	188	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	91	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"All other diseases (Residual) "	"GR113-111"	24	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	38	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	34	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	28	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Apr., 2018"	"2018/04"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Other heart diseases (I26-I51)"	"GR113-064"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	355	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	171	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	88	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"All other diseases (Residual) "	"GR113-111"	29	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	44	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	38	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"May, 2018"	"2018/05"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	387	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	156	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	92	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"All other diseases (Residual) "	"GR113-111"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	38	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jun., 2018"	"2018/06"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	18	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"Other heart diseases (I26-I51)"	"GR113-064"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	421	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	182	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	81	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"All other diseases (Residual) "	"GR113-111"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	34	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	27	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jul., 2018"	"2018/07"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	26	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	411	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	186	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	84	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"All other diseases (Residual) "	"GR113-111"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	43	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Aug., 2018"	"2018/08"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	37	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Other heart diseases (I26-I51)"	"GR113-064"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	403	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	182	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	102	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"All other diseases (Residual) "	"GR113-111"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	31	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	31	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Sep., 2018"	"2018/09"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"Other heart diseases (I26-I51)"	"GR113-064"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	388	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	184	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	106	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"All other diseases (Residual) "	"GR113-111"	29	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	42	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	37	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Oct., 2018"	"2018/10"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	34	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	362	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	175	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	106	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"All other diseases (Residual) "	"GR113-111"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Nov., 2018"	"2018/11"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	32	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"Pneumonia (J12-J18)"	"GR113-078"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	338	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	169	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	90	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"All other diseases (Residual) "	"GR113-111"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	34	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Dec., 2018"	"2018/12"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	25	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Other heart diseases (I26-I51)"	"GR113-064"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Pneumonia (J12-J18)"	"GR113-078"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	525	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	227	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	128	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Male"	"M"	"Jan., 2018"	"2018/01"	"All other diseases (Residual) "	"GR113-111"	30	Not Applicable	Not Applicable
